Термін,Тип,Прив’язка синтаксису
RegulatoryAct,Клас,foaf:document
accessURL,Властивість,dct:accessURL
bibliographicCitation,Властивість,dct:bibliographicCitation
identifier,Властивість,dct:identifier
isDefinedBy,Асоціація,rdfs:isDefinedBy
publisher,Асоціація,dct:publisher
title,Властивість,dct:title
valid,Властивість,dct:valid
Evaluation,Клас,schema:Event
endDate,Властивість,schema:endDate
identifier,Властивість,dct:identifier
isRequiredBy,Асоціація,dct:isRequiredBy
startDate,Властивість,schema:startDate
type,Властивість,dct:type
Report,Клас,foaf:document
accessURL,Властивість,dct:accessURL
bibliographicCitation,Властивість,dct:bibliographicCitation
dateAccepted,Властивість,dct:dateAccepted
identifier,Властивість,dct:identifier
primaryTopic,Асоціація,foaf:primaryTopic
RegulatoryAgency,Клас,org:Organization
identifier,Властивість,org:identifier
prefLabel,Властивість,skos:prefLabel
LegalAct,Клас,foaf:document
identifier,Властивість,dct:identifier
created,Властивість,dct:created
title,Властивість,dct:title
