Назва колонки,Умова валідації,"Спосіб валідації (регулярний вираз, словник)"
identifier,Комірка має бути заповненою.,^.+$
title,Комірка має бути заповненою.,^.+$
legalActTitle,Комірка має бути заповненою.,^.+$
type,Одне зі значень.,"прийняття нового регуляторного акту, внесення змін до регуляторного акту, скасування діючого регуляторного акту"
objective,Комірка має бути заповненою.,^.+$
isVersionOfІD,Комірка має бути заповненою.,^.+$
isVersionOfTitle,Комірка має бути заповненою.,^.+$
creatorName,Комірка має бути заповненою.,^.+$
creatorID,Комірка має містити номер юридичної особи у ЄДР (8 цифр) або null.,^(?:\\d{8}|null)$
developmentEndDate,Значення відповідає формату ISO 8601 (рррр-мм-дд).,^\\d{4}-(?:[0][1-9]|1[0-2])-(?:0[1-9]|[1-2]\\d|3[01])$
accessURL,"Посилання має розпочинатися з ""http://"" або ""https://"" (стандарт RFC 3986) або має бути вказано ""не застосовується"".",^(?:https?:\\/\\/.+|не застосовується)$
bibliographicCitation,Комірка має бути заповненою.,^.+$
dateSubmitted,Значення відповідає формату ISO 8601 (рррр-мм-дд).,^\\d{4}-(?:[0][1-9]|1[0-2])-(?:0[1-9]|[1-2]\\d|3[01])$
regulatoryAgencyPrefLabel,Комірка має бути заповненою.,^.+$
regulatoryAgencyID,Комірка має містити номер юридичної особи у ЄДР (8 цифр) або null.,^(?:\\d{8}|null)$
