name,title,description,datatype
identifier,Унікальний ідентифікатор проекту регуляторного акту,"Унікальний ідентифікатор проекту регуляторного акту. Ідентифікатором може бути рік на який ухвалений план та порядковий номер у переліку, що розділені знаком дефіз - ""-"". Наприклад, 2019-01.",string
title,Назва проекту регуляторного акту,"Назва проекту регуляторного акту. Наприклад, Порядок встановлення режиму роботи закладів торгівлі, ресторанного господарства, сфери послуг та розваг.",string
legalActTitle,"Назва проекту нормативно-правового акту, який виноситься на розгляд регуляторного органу","Повна назва проекту нормативно-правового акту, який виноситься на розгляд регуляторного органу Наприклад, Проект рішення міської ради ""Про встановлення режиму роботи закладів торгівлі, ресторанного господарства, сфери послуг та розваг розташованих на території м. Вінниці""",string
type,Вид проекту регуляторного акту,"Вказати одне зі значень: прийняття нового регуляторного акту, внесення змін до регуляторного акту, скасування діючого регуляторного акту. Наприклад, внесення змін до регуляторного акту.",string
objective,Ціль або цілі прийняття регуляторного акту,"Стислий виклад цілі або цілей прийняття регуляторного акту, підготовка якого запланована. Наприклад: Встановлення за погодженням з власниками зручного для населення режиму роботи закладів торгівлі, ресторанного господарства, сфери послуг та розваг розташованих на території м. Вінниці",string
isVersionOfІD,"Ідентифікатор регуляторного акту, до якого вносяться зміни проектом","Якщо проект передбачає внесення змін до чинного регуляторного акту, необхідно вказати ідентифіктор регуляторного акту з набору даних ""Перелік регуляторних діючив актів"" (колонка ""identifier""). Наприклад, 719-2014-05-29. Якщо ідентифікатор відсутній, вказати null.",string
isVersionOfTitle,"Назва регуляторного акту, до якого вносяться зміни проектом","Якщо проект передбачає внесення змін до чинного регуляторного акту, необхідно вказати ідентифіктор регуляторного акту з набору даних ""Перелік регуляторних актів розпорядника"" (колонка ""title""). Наприклад, Порядок встановлення режиму роботи закладів торгівлі, ресторанного господарства, сфери послуг та розваг.",string
creator,Повна назва розробника,"Повна назва органу та підрозділу відповідального за розробку проекту регуляторного акту або пірзвище, ім'я, по-батькові розробників. Наприклад, Департамент е​кономіки і інвестицій Вінницької міської ради.",string
creatorID,Ідентифікатор розробника,"Номер розробника проекту регуляторного акту у Єдиному державному реєстрі юридичних осіб, фізичних осіб-підприємців та громадських формувань (ЄДР). Наприклад, 01411082. Якщо розробник немає номеру в ЄДР, вказати - null. У електронних таблицях колонка повинна мати текстовий формат",string
developmentEndDate,Кінець строку розробки проекту регуляторного акту,"Кінцева дата строку розробки проекту регуляторного акту у форматі ISO 8601 (рррр-мм-дд). Якщо планом затверджено, наприклад, місяць чи квартал, то як дату зазначити останній день цього періоду. Наприклад, 2019-06-01.",date
accessURL,Посилання на оприлюднений проект регуляторного акту в мережі Інтернет (URL),"Посилання на оприлюднений проект регуляторного акту в мережі Інтернет (URL). Посилання має починатися з http:// або https://, наприклад, https://www.example.gov.ua/example/.",anyURI
bibliographicCitation,Посилання на публікацію проекту регуляторного акту у друкованих виданнях,"Посилання має включити достатню кількість подробиць для того, щоб точно визначити джерело. Рекомендовано використовувати ДСТУ 8302:2015. Наприклад, Вісник Поділля. 2014. Вип. 12/2. С. 2. Якщо посилання відсутнє, вказати - null.",string
dateSubmitted,Дата внесення проекту на розгляд регуляторного органу,"Дата внесення проекту розгляд регуляторного органу у форматі ISO 8601 (рррр-мм-дд). Наприклад, 2018-10-05.",date
regulatoryAgencyPrefLabel,Повна назва регуляторного органу,"Повна назва регуляторного органу яким буде затверджено проект регуляторного акту. Наприклад, Виконавчий коміет Вінницької міської ради.",string
regulatoryAgencyIdentifier,Ідентифікатор регуляторного органу,"Номер регуляторного органу у Єдиному державному реєстрі юридичних осіб, фізичних осіб-підприємців та громадських формувань (ЄДР). Наприклад, 01411082. Якщо регуляторний орган не має номеру в ЄДР, вказати - null. У електронних таблицях колонка повинна мати текстовий формат.",string
